id,user_id,stress_prediction_id,weekly_summary_id,period_type,category,title,recommendation_text,priority_level,created_at
1,1,1,,daily,mood_regulation,Stabilkan mood,Mood lo sedang rendah. Coba journaling singkat atau latihan napas 5 menit.,Medium,2026-01-02 00:03:00
2,1,2,,daily,workload,Atur prioritas tugas,Tekanan akademik lo tinggi. Pecah tugas jadi 3 prioritas dan kerjakan dari deadline terdekat.,High,2026-01-02 20:48:00
3,1,3,,daily,digital_habit,Batasi screen time,Screen time lo tinggi. Kurangi penggunaan layar non-akademik 1 jam sebelum tidur.,Medium,2026-01-03 20:54:00
4,1,4,,daily,mood_regulation,Stabilkan mood,Mood lo sedang rendah. Coba journaling singkat atau latihan napas 5 menit.,Medium,2026-01-05 01:01:00
5,1,5,,daily,workload,Atur prioritas tugas,Tekanan akademik lo tinggi. Pecah tugas jadi 3 prioritas dan kerjakan dari deadline terdekat.,High,2026-01-05 23:14:00
6,1,6,,daily,maintenance,Pertahankan rutinitas,Aktivitas lo relatif stabil. Pertahankan pola tidur dan manajemen tugas hari ini.,Low,2026-01-07 00:15:00
7,1,7,,daily,mood_regulation,Stabilkan mood,Mood lo sedang rendah. Coba journaling singkat atau latihan napas 5 menit.,Medium,2026-01-07 20:09:00
8,1,8,,daily,maintenance,Pertahankan rutinitas,Aktivitas lo relatif stabil. Pertahankan pola tidur dan manajemen tugas hari ini.,Low,2026-01-08 22:44:00
9,1,9,,daily,workload,Atur prioritas tugas,Tekanan akademik lo tinggi. Pecah tugas jadi 3 prioritas dan kerjakan dari deadline terdekat.,High,2026-01-10 00:16:00
10,1,10,,daily,workload,Atur prioritas tugas,Tekanan akademik lo tinggi. Pecah tugas jadi 3 prioritas dan kerjakan dari deadline terdekat.,High,2026-01-10 19:51:00
11,1,11,,daily,mood_regulation,Stabilkan mood,Mood lo sedang rendah. Coba journaling singkat atau latihan napas 5 menit.,Medium,2026-01-12 00:52:00
12,1,12,,daily,workload,Atur prioritas tugas,Tekanan akademik lo tinggi. Pecah tugas jadi 3 prioritas dan kerjakan dari deadline terdekat.,High,2026-01-12 18:39:00
